,Tweet Id,Tweet Datetime,Tweet Text,Twitter @ Name,Tweet Coordinates,Place Info,User Location,Tweet Language
5058,1305164298780508161,2020-09-13 15:19:52,"Um this is fucking annoying
#samsung #android
Never had this happen before on any other device 

🤬 every time I open anything that has a place to type
I have this bs notification &amp; popup to clear

Yes everything is updated
Reset
Safemode
Why is this happening? https://t.co/EwL7lTo3wJ",AfyaEa,,,"Surrey, BC",en
1574,1305165835787530242,2020-09-13 15:25:58,"I have Amazon Fire, Roku and Samsung in my house, none of which work with @peacockTV app. So while I am not happy with the subscriptions but understand this is the direction I have to put it on a device and screen share to watch on tv - what an awful customer experience",drinkie,,,"Ohio, USA",en
1746,1305167546254086144,2020-09-13 15:32:46,Wowwwww!  @BTS_twt GalaxyxBTS: The Strange Tailor Shop 👔 | Samsung https://t.co/Id92QMzqdd via @YouTube,LeeleeGrace1007,,,United States,en
5299,1305168654510612480,2020-09-13 15:37:10,"#YOONGI #HOBI #TAEHYUNG fighting over the last piece of cake 🍰 then the Samsung phone rang. Who’s phone is it? Do they let the cake go to answer the phone? Who’s the mystery caller? Which one will be the victor, the cake or @SamsungMobile? 🤪😆 @BTS_twt https://t.co/EG9WyGfLEh",JMoejinnie,,,"California, USA",en
1384,1305169236839497729,2020-09-13 15:39:29,"@netflix What is wrong with you? Are you protecting Samsung tablets? The Lenovo Smart tab w Google assistant will not play HD movies!
It is listed as a L1 device. Why won't you add it to your list?
Jeez, even my old Chinese Huawei tablet plays in HD.
What is your problem? Help US",JimShoe68100547,,,Central Illinois,en
3865,1305170082541297665,2020-09-13 15:42:51,Okay Samsung. I see what you did here. #btsxsamsung  https://t.co/LMsC4UiWv9,janettedaniel,,,Texas,en
4740,1305170709136773120,2020-09-13 15:45:20,"Morning 🌮 run with 🐕 Ms BellaMae

Introducing a new space ""Rear Camera Selfie"" with incomparable Samsung Galaxy Z Fold2 @GOTGFSMTeam

#SamsungGalaxyZFold2
#Dogsofinstagram
#dowhatyoucant 
#betterway 
#Samsung 
#withgalaxy
#SundayFunday 
#Sundayvibes
#satx https://t.co/X4mu95L5K0",pj_toms,,,"San Antonio, TX",en
2655,1305172961595359233,2020-09-13 15:54:17,"@zackziaja @boonesbrigade @NBCSportsSoccer @peacockTV The peacock app isn't even available on my Samsung TV. I guess it's not a compatible app. Sooooo...wtf? 

So many streaming services, it's now more expensive to watch what you want then when cable had the monopoly.",nickipedia7,,,"St Charles, Mo",en
1924,1305172991442067457,2020-09-13 15:54:24,"I’m suffering with these two !!!

@BTS_twt #JIN #Jungkook 
#SamsungxBts 
GalaxyxBTS: The Strange Tailor Shop 👔 | Samsung https://t.co/2txFnOv3lA via @YouTube",BTSJIN_4cari,,,Gulf Coast,en
1382,1305174175829630977,2020-09-13 15:59:07,"@blakehills27659 I'm going to need you to drop a samsung curved glass phone with your case on it, from 8 feet down a concrete staircase from a swinging purse. Just to be sure it'll work for me.",Sndrab,,,Illinois,en
1099,1305174504549867523,2020-09-13 16:00:25,@butterflysuki77 @RafranzDavis @playlistforthat Now that Samsung has bullied me with that jinkook ad into buy a new phone -- I'm probably going to do that once i get my new phone LOL,BtsChocox,,,"Lehigh Acres, FL",en
4642,1305174866367139840,2020-09-13 16:01:51,Thinking of buying Samsung Galaxy S8 S8+ Plus for Total Wireless (Verizon Towers) 64GB - Refurbished? Read our lates https://t.co/xAmhPOjkyA,iConvertwireles,,,"Nashville, TN",en
1745,1305175368089755648,2020-09-13 16:03:51,GalaxyxBTS: The Strange Tailor Shop 👔 | Samsung https://t.co/EH6fXt6SM5 via @YouTube,SmokedByAGirl,,,USA,en
3916,1305175538886160384,2020-09-13 16:04:32,Samsung should explain this... Exynos vs Qualcomm?! - Note 20 Ultra https://t.co/37nhiOEPtq via @YouTube,TonysC3DWorld,,,"Dallas, Texas",en
